name,type,color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
User,u,#ff0000,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0,0,1,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
C,p,#ccece6,0,1,0,0.5,0.5,1,0,0.5,1,0.5,0,1,0,1,1,1,0.5,1,0,0,1,0,0,0,0,0.5,1,1,0,1,1,0,0,0,1,1,0,0
A,p,#edf8fb,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.5,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
L,p,#66c2a4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1
G,p,#41ae76,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.5,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1
S,p,#238b45,1,1,0,0,1,0.5,0,0.5,1,0,0,1,1,0,1,0,1,0.5,0,0.5,0,0.5,1,1,0,1,1,1,1,0.5,1,1,0,1,0.5,0,1,1
F,p,#99d8c9,0,0.5,0,0,0.5,0.5,0.5,0.5,0,1,0.5,0,0,1,1,1,0,1,0,0,1,0,0,0.5,0,0,1,1,0.5,1,1,0,0,0,0,0,0,1
R,p,#005824,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CA,c,#eff3ff,0.000,1.000,0.000,0.750,0.250,1.000,0.000,0.750,0.500,0.750,0.000,1.000,0.000,1.000,0.750,0.500,0.250,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.500,0.750,1.000,0.500,0.000,1.000,0.500,0.000,0.500,0.000,0.500,1.000,0.000,0.000
AGS,c,#4292c6,0.667,1.000,0.333,0.333,0.667,0.500,0.333,0.500,0.667,0.333,0.333,0.667,0.667,0.333,0.833,0.167,0.667,0.500,0.000,0.500,0.333,0.500,0.667,0.667,0.333,1.000,0.667,0.667,0.333,0.500,0.667,0.667,0.333,0.667,0.500,0.333,0.667,0.667
ALG,c,#084594,0.667,0.667,0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.833,0.167,0.667,0.333,0.333,0.667,0.333,0.667,0.667,0.667,0.333,1.000,0.333,0.333,0.333,0.333,0.667,0.667,0.333,0.667,0.667,0.333,0.667,0.667
ALS,c,#2171b5,0.667,0.667,0.333,0.333,0.667,0.500,0.333,0.500,0.667,0.333,0.333,0.667,0.667,0.333,0.833,0.000,0.667,0.500,0.333,0.500,0.333,0.500,0.667,0.667,0.333,1.000,0.667,0.333,0.667,0.500,0.667,0.667,0.333,0.667,0.500,0.333,0.667,0.667
CGS,c,#c6dbef,0.667,1.000,0.333,0.167,0.833,0.500,0.333,0.333,1.000,0.167,0.333,0.667,0.667,0.333,1.000,0.500,0.833,0.500,0.000,0.500,0.333,0.500,0.667,0.667,0.000,0.833,0.667,1.000,0.333,0.500,1.000,0.667,0.000,0.667,0.833,0.333,0.667,0.667
CLG,c,#6baed6,0.667,0.667,0.667,0.167,0.833,0.333,0.667,0.167,1.000,0.167,0.667,0.333,0.667,0.333,1.000,0.500,0.833,0.333,0.333,0.667,0.333,0.667,0.667,0.667,0.000,0.833,0.333,0.667,0.333,0.333,1.000,0.667,0.000,0.667,1.000,0.333,0.667,0.667
CLS,c,#9ecae1,0.667,0.667,0.333,0.167,0.833,0.500,0.333,0.333,1.000,0.167,0.333,0.667,0.667,0.333,1.000,0.333,0.833,0.500,0.333,0.500,0.333,0.500,0.667,0.667,0.000,0.833,0.667,0.667,0.667,0.500,1.000,0.667,0.000,0.667,0.833,0.333,0.667,0.667